commonName	scientificName	scientificName2	scientificName3	scientificName4
New Guniea Impatiens	Impatiens hawkeri			
oakleaf hydrangea	Hydrangea quercifolia			
Ornamental Pepper	Capsicum annuum			
Ornamental Purslane	Portulaca oleracea			
Ornamental Sweet Potato	Ipomoea batatas			
Peony	Paeonia Iactiflora			
Petunia	Petunia x hybrida			
Pink Cosmos	Cosmos bipinnatus			
Pinwheel Zinnia	Zinnia marylandica			
PJM Rhododendron (group)	Rhododendron PJM Group			
Plumed Cockscomb	Celosia agentea var. plumosa			
Prairie Gayfeather	Liatris spicata			
Purple Coneflower	Echinacea purpurea			
Purple Millet	Pennisetum glaucum			
Red-hot Poker	Kniphofia uvaria			
River Birch	Betula nigra			
Rose Campion	Lychnis coronaria			
Rose Moss	Portulaca grandiflora			
Russian Sage	Perovskia atriplicifolia			
Salvia May Night	Salvia nemerosa			
Saucer Magnolia	Magnolia x soulangiana			
Sea Holly	Eryngium amethystinum			
Shasta Daisy	Leucanthemum x superbum			
Showy Stonecrop	Sedum spectabile			
Siberian Iris	Iris sibirica			
Siebold Hosta	Hosta sieboldiana			
Siebold viburnum	Viburnum sieboldii			
Signet Marigold	Tagetes tenuifolia			
smoketree	Cotinus coggygria			
Snapdragon	Antirrhinum majus			
Snow-in-Summer	Cerastium tomentosum			
Solcito Zinnia	Zinnia maritima 'Solcito'			
Spice bush	Lindera benzoin			
Spider Flower	Cleome hassleriana			
Stiletto Hybrid Hosta	Hosta 'Stiletto'			
Sugar Maple	Acer saccharum			
Summer Snapdragon	Angelonia angustifolia			
Sun and Substance Hybrid Hosta	Hosta 'Sun and Substance'			
Sunflower	Helianthus annuus			
Sweet Alyssum	Lobularia maritima			
Tall Verbena	Verbena bonariensis			
Texas Sage	Salvia coccinea			
thornless honeylocust	Gleditsia tricanthos f. inermis			
Thread-leaf Tickseed	Coreopsis verticillata			
Tuberous-rooted Begonia	Begonia x tuberhybrida			
Variegated Solomon's Seal	Polygonatum odoratum			
Wavy-leaved Hosta	Hosta undulata			
Wax Begonia	Begonia x semperflorens-cultorum			
Wheat Cockscomb	Celosia agentea var. spicata			
Yarrow	Achillea millefolium			
Yellow Cosmos	Cosmos sulphureus			
Zonal Geranium	Pelargonium x hortorum			
